epoch; counter; processing time; losses discriminator; losses generator;
3; 116; 7.1; 7.667; 0.0; 
3; 117; 7.1; 7.667; 0.0; 
3; 118; 7.0; 7.667; 0.0; 
3; 119; 7.0; 7.667; 0.0; 
3; 120; 7.1; 7.667; 0.0; 
3; 121; 7.2; 7.667; 0.0; 
3; 122; 7.0; 7.667; 0.0; 
3; 123; 7.1; 7.667; 0.0; 
3; 124; 7.0; 7.667; 0.0; 
3; 125; 7.0; 7.668; 0.0; 
3; 126; 7.0; 7.667; 0.0; 
3; 127; 7.0; 7.668; 0.0; 
3; 128; 7.1; 7.667; 0.0; 
4; 1; 7.0; 7.667; 0.0; 
4; 2; 7.0; 7.667; 0.0; 
4; 3; 7.0; 7.668; 0.0; 
4; 4; 7.0; 7.667; 0.0; 
4; 5; 7.0; 7.667; 0.0; 
4; 6; 7.0; 7.668; 0.0; 
4; 7; 7.0; 7.667; 0.0; 
4; 8; 7.1; 7.667; 0.0; 
4; 9; 7.0; 7.667; 0.0; 
4; 10; 7.2; 7.667; 0.0; 
4; 11; 7.1; 7.667; 0.0; 
4; 12; 7.1; 7.667; 0.0; 
4; 13; 7.0; 7.667; 0.0; 
4; 14; 7.0; 7.667; 0.0; 
4; 15; 7.0; 7.667; 0.0; 
4; 16; 7.0; 7.667; 0.0; 
4; 17; 7.0; 7.667; 0.0; 
4; 18; 7.1; 7.667; 0.0; 
4; 19; 7.1; 7.668; 0.0; 
4; 20; 7.2; 7.667; 0.0; 
4; 21; 7.0; 7.668; 0.0; 
4; 22; 7.0; 7.667; 0.0; 
4; 23; 7.0; 7.667; 0.0; 
4; 24; 7.1; 7.667; 0.0; 
4; 25; 7.0; 7.668; 0.0; 
4; 26; 7.0; 7.667; 0.0; 
4; 27; 7.1; 7.667; 0.0; 
4; 28; 7.0; 7.667; 0.0; 
4; 29; 7.0; 7.667; 0.0; 
4; 30; 7.1; 7.667; 0.0; 
4; 31; 7.1; 7.667; 0.0; 
4; 32; 7.0; 7.667; 0.0; 
4; 33; 7.0; 7.667; 0.0; 
4; 34; 7.1; 7.667; 0.0; 
4; 35; 7.1; 7.667; 0.0; 
4; 36; 7.1; 7.667; 0.0; 
4; 37; 7.1; 7.667; 0.0; 
4; 38; 7.0; 7.667; 0.0; 
4; 39; 7.0; 7.667; 0.0; 
4; 40; 7.1; 7.667; 0.0; 
4; 41; 7.0; 7.667; 0.0; 
4; 42; 7.1; 7.667; 0.0; 
4; 43; 7.0; 7.667; 0.0; 
4; 44; 7.0; 7.667; 0.0; 
4; 45; 7.0; 7.667; 0.0; 
4; 46; 7.0; 7.667; 0.0; 
4; 47; 7.0; 7.667; 0.0; 
4; 48; 7.3; 7.667; 0.0; 
4; 49; 7.0; 7.667; 0.0; 
4; 50; 7.1; 7.667; 0.0; 
4; 51; 7.1; 7.667; 0.0; 
4; 52; 7.1; 7.667; 0.0; 
4; 53; 7.1; 7.667; 0.0; 
4; 54; 7.0; 7.667; 0.0; 
4; 55; 7.1; 7.667; 0.0; 
4; 56; 7.0; 7.667; 0.0; 
4; 57; 7.0; 7.667; 0.0; 
4; 58; 7.0; 7.667; 0.0; 
4; 59; 7.4; 7.667; 0.0; 
4; 60; 7.5; 7.667; 0.0; 
4; 61; 7.3; 7.667; 0.0; 
4; 62; 6.9; 7.667; 0.0; 
4; 63; 7.0; 7.667; 0.0; 
4; 64; 7.0; 7.667; 0.0; 
4; 65; 7.0; 7.667; 0.0; 
4; 66; 7.0; 7.667; 0.0; 
4; 67; 7.0; 7.667; 0.0; 
4; 68; 7.0; 7.667; 0.0; 
4; 69; 7.0; 7.667; 0.0; 
4; 70; 7.1; 7.667; 0.0; 
4; 71; 7.0; 7.667; 0.0; 
4; 72; 7.1; 7.667; 0.0; 
4; 73; 7.0; 7.667; 0.0; 
4; 74; 7.0; 7.667; 0.0; 
4; 75; 7.0; 7.667; 0.0; 
4; 76; 7.0; 7.667; 0.0; 
4; 77; 7.0; 7.667; 0.0; 
4; 78; 7.1; 7.667; 0.0; 
4; 79; 7.0; 7.667; 0.0; 
4; 80; 7.1; 7.667; 0.0; 
4; 81; 7.1; 7.667; 0.0; 
4; 82; 7.0; 7.667; 0.0; 
4; 83; 7.0; 7.667; 0.0; 
4; 84; 7.0; 7.667; 0.0; 
4; 85; 7.0; 7.667; 0.0; 
4; 86; 7.1; 7.667; 0.0; 
4; 87; 7.0; 7.667; 0.0; 
4; 88; 7.0; 7.667; 0.0; 
4; 89; 7.0; 7.667; 0.0; 
4; 90; 7.2; 7.667; 0.0; 
4; 91; 7.0; 7.667; 0.0; 
4; 92; 7.0; 7.667; 0.0; 
4; 93; 7.0; 7.667; 0.0; 
4; 94; 7.1; 7.667; 0.0; 
4; 95; 7.1; 7.667; 0.0; 
4; 96; 7.0; 7.667; 0.0; 
4; 97; 7.0; 7.667; 0.0; 
4; 98; 7.1; 7.667; 0.0; 
4; 99; 7.0; 7.667; 0.0; 
4; 100; 7.1; 7.667; 0.0; 
4; 101; 7.2; 7.667; 0.0; 
4; 102; 7.1; 7.667; 0.0; 
4; 103; 7.1; 7.667; 0.0; 
4; 104; 7.1; 7.667; 0.0; 
4; 105; 7.0; 7.667; 0.0; 
4; 106; 7.0; 7.667; 0.0; 
4; 107; 7.0; 7.667; 0.0; 
4; 108; 7.0; 7.667; 0.0; 
4; 109; 7.0; 7.668; 0.0; 
4; 110; 7.1; 7.667; 0.0; 
4; 111; 7.1; 7.667; 0.0; 
4; 112; 7.1; 7.667; 0.0; 
4; 113; 7.0; 7.667; 0.0; 
4; 114; 7.0; 7.667; 0.0; 
4; 115; 7.0; 7.667; 0.0; 
4; 116; 7.0; 7.667; 0.0; 
4; 117; 7.0; 7.667; 0.0; 
4; 118; 7.0; 7.667; 0.0; 
4; 119; 7.0; 7.667; 0.0; 
4; 120; 7.1; 7.667; 0.0; 
4; 121; 7.1; 7.667; 0.0; 
4; 122; 7.0; 7.667; 0.0; 
4; 123; 7.1; 7.667; 0.0; 
4; 124; 7.0; 7.667; 0.0; 
4; 125; 7.0; 7.667; 0.0; 
4; 126; 7.0; 7.667; 0.0; 
4; 127; 7.0; 7.667; 0.0; 
4; 128; 7.0; 7.667; 0.0; 
5; 1; 7.1; 7.667; 0.0; 
5; 2; 7.1; 7.667; 0.0; 
5; 3; 7.0; 7.667; 0.0; 
5; 4; 7.0; 7.667; 0.0; 
5; 5; 7.0; 7.667; 0.0; 
5; 6; 7.0; 7.667; 0.0; 
5; 7; 7.0; 7.667; 0.0; 
